year,figure,breakdown,disaggregation,indicator,measure
2016,66,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,65,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,65,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,65,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,68,75 and over,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,63,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,63,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,63,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,65,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,64,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,61,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,66,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,64,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,65,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,68,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,69,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,71,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,70,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,67,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,70,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,68,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,70,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,71,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,70,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,70,75+,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,50,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,52,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,51,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,50,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,53,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,51,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,51,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,52,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,53,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,54,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,56,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,56,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,56,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,56,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,56,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,57,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,57,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,58,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,58,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,59,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,59,No,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,48,Yes,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,50,Yes,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,47,Yes,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,49,Yes,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,51,Yes,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,49,Yes,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,50,Yes,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,49,Yes,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,48,Yes,Disability,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
